Date,Births,Marriages,Deaths
1956-03-01,185910,219608,172335
1956-06-01,189742,141540,121514
1956-09-01,180636,218823,105528
1956-12-01,169956,144335,128492
1957-03-01,191233,225994,136269
1957-06-01,192909,135330,119658
1957-09-01,187390,212103,111497
1957-12-01,181131,138747,154019
1958-03-01,198626,210787,165590
1958-06-01,198037,135932,125796
1958-09-01,188498,208428,106852
1958-12-01,186131,143068,135258
1959-03-01,200101,208389,179116
1959-06-01,207105,130397,121629
1959-09-01,195073,210210,104791
1959-12-01,181332,149853,128733
1960-03-01,207549,183184,150910
1960-06-01,208260,149838,126033
1960-09-01,207700,212206,113931
1960-12-01,198098,161157,142301
1961-03-01,215567,174608,178850
1961-06-01,219427,156926,126742
1961-09-01,216522,230395,112118
1961-12-01,198694,152545,140545
1962-03-01,234089,208489,180413
1962-06-01,230255,130535,130297
1962-09-01,222427,221267,112097
1962-12-01,209740,157591,141811
1963-03-01,237284,207711,199515
1963-06-01,235502,135541,130818
1963-09-01,230909,234797,115557
1963-12-01,214178,168903,135005
1964-03-01,235735,207058,158178
1964-06-01,245786,145922,128851
1964-09-01,239775,234604,115246
1964-12-01,220763,173603,140167
1965-03-01,239991,208344,159091
1965-06-01,237107,155794,131092
1965-09-01,236999,239097,120579
1965-12-01,221220,181542,144784
1966-03-01,237813,214566,175757
1966-06-01,232004,156107,133522
1966-09-01,236448,240676,119623
1966-12-01,215428,197582,142564
1967-03-01,237698,219923,147242
1967-06-01,233537,148468,131953
1967-09-01,224706,266720,120064
1967-12-01,208367,180553,150015
1968-03-01,235797,249000,183820
1968-06-01,227036,141718,133067
1968-09-01,227251,269142,122620
1968-12-01,209385,198340,144831
1969-03-01,233058,164474,170768
1969-06-01,222454,208709,137069
1969-09-01,217033,278276,122735
1969-12-01,196268,181535,156793
1970-03-01,213601,172252,174773
1970-06-01,222370,217667,139816
1970-09-01,214453,294415,125520
1970-12-01,205276,189444,143402
1971-03-01,225784,151453,161741
1971-06-01,219528,224996,139650
1971-09-01,214081,287525,126585
1971-12-01,198278,192614,147798
1972-03-01,208018,173719,173152
1972-06-01,204365,226627,141131
1972-09-01,200896,310127,130408
1972-12-01,181525,198868,156027
1973-03-01,200495,179836,173236
1973-06-01,188150,211675,151052
1973-09-01,183143,279625,128532
1973-12-01,173614,186179,155014
1974-03-01,183272,167299,163503
1974-06-01,177431,201910,144780
1974-09-01,182522,269045,133708
1974-12-01,166142,180355,152938
1975-03-01,169359,175323,162452
1975-06-01,176307,189798,149954
1975-09-01,172170,271089,131242
1975-12-01,151201,178826,149258
1976-03-01,169834,159828,188216
1976-06-01,164811,183381,141656
1976-09-01,165493,256377,128388
1976-12-01,149223,168298,151776
1977-03-01,162419,147587,163472
1977-06-01,158392,196996,148322
1977-09-01,163517,255523,130372
1977-12-01,151139,171094,146385
1978-03-01,163601,153043,174546
1978-06-01,168239,192461,145262
1978-09-01,171837,278642,131349
1978-12-01,163358,167029,148200
1979-03-01,180974,149948,179361
1979-06-01,182353,206265,145937
1979-09-01,180959,266427,131147
1979-12-01,171112,169183,149916
1980-03-01,185941,146754,165145
1980-06-01,188362,216780,143819
1980-09-01,190619,265602,131670
1980-12-01,174099,162053,151258
1981-03-01,181167,137136,163372
1981-06-01,181132,208933,140005
1981-09-01,189444,253439,130993
1981-12-01,171324,150320,153617
1982-03-01,186258,117908,169483
1982-06-01,182782,204671,143500
1982-09-01,188720,257520,129244
1982-12-01,178144,147926,150202
1983-03-01,184709,117612,170789
1983-06-01,187968,205163,140925
1983-09-01,192866,263859,132449
1983-12-01,176021,149070,146368
