date,value
2025-01-09 08:30:09,309.1
2025-01-09 08:45:11,313.3
2025-01-09 09:00:11,319.2
2025-01-09 09:15:13,318.6
2025-01-09 09:30:10,324.5
2025-01-09 09:45:11,326.8
2025-01-09 10:00:12,325.7
2025-01-09 10:15:09,327.0
2025-01-09 10:30:10,328.6
2025-01-09 10:45:11,331.4
2025-01-09 11:00:12,332.7
2025-01-09 11:15:09,331.9
2025-01-09 11:30:10,333.3
2025-01-09 11:45:09,335.1
2025-01-09 12:00:13,332.2
2025-01-09 12:15:10,338.4
2025-01-09 12:30:09,339.6
2025-01-09 12:45:10,337.3
2025-01-09 13:00:12,335.4
2025-01-09 13:15:09,334.0
2025-01-09 13:30:09,330.9
2025-01-09 13:45:10,331.0
2025-01-09 14:00:10,329.8
2025-01-09 14:15:11,330.9
2025-01-09 14:30:10,330.4
2025-01-09 14:45:11,330.4
2025-01-09 15:00:12,326.9
2025-01-09 15:15:11,326.3
2025-01-09 15:30:10,327.8
2025-01-09 15:45:10,331.0
2025-01-09 16:00:14,328.6
2025-01-09 16:15:11,327.6
2025-01-09 16:30:11,327.9
2025-01-09 16:45:10,329.7
2025-01-09 17:00:14,330.7
2025-01-09 17:15:11,332.2
2025-01-09 17:30:10,334.9
2025-01-09 17:45:11,333.8
2025-01-09 18:00:13,331.1
2025-01-09 18:15:11,332.0
2025-01-09 18:30:10,329.9
2025-01-09 18:45:10,327.2
2025-01-09 19:00:12,324.0
2025-01-09 19:15:10,323.8
2025-01-09 19:30:10,322.6
2025-01-09 19:45:10,321.9
2025-01-09 20:00:13,320.8
2025-01-09 20:15:11,317.9
2025-01-09 20:30:11,318.9
2025-01-09 20:45:10,316.7
2025-01-09 21:00:11,312.9
2025-01-09 21:15:12,312.6
2025-01-09 21:30:11,309.4
2025-01-09 21:45:11,308.4
2025-01-09 22:00:15,303.1
2025-01-09 22:15:10,298.1
2025-01-09 22:30:11,302.2
2025-01-09 22:45:10,298.1
2025-01-09 23:00:12,294.0
2025-01-09 23:15:11,293.0
2025-01-09 23:30:09,292.2
2025-01-09 23:45:10,288.5
2025-01-10 00:00:12,286.2
2025-01-10 00:15:10,287.9
2025-01-10 00:30:10,282.1
2025-01-10 00:45:10,282.4
2025-01-10 01:00:14,281.3
2025-01-10 01:15:10,279.9
2025-01-10 01:30:10,278.4
2025-01-10 01:45:10,269.7
2025-01-10 02:00:13,269.5
2025-01-10 02:15:11,270.1
2025-01-10 02:30:10,267.8
2025-01-10 02:45:10,268.5
2025-01-10 03:00:13,266.7
2025-01-10 03:15:11,268.0
2025-01-10 03:30:11,267.8
2025-01-10 03:45:12,266.3
2025-01-10 04:00:13,266.6
2025-01-10 04:15:10,268.4
2025-01-10 04:30:13,269.5
2025-01-10 04:45:10,274.0
2025-01-10 05:00:13,271.9
2025-01-10 05:15:10,276.7
2025-01-10 05:30:10,275.7
2025-01-10 05:45:09,279.6
2025-01-10 06:00:12,284.9
2025-01-10 06:15:10,281.3
2025-01-10 06:30:11,285.2
2025-01-10 06:45:11,286.0
2025-01-10 07:00:13,289.1
2025-01-10 07:15:10,293.2
2025-01-10 07:30:10,290.9
2025-01-10 07:45:11,295.4
2025-01-10 08:00:12,299.7
2025-01-10 08:15:11,303.1
2025-01-10 08:30:11,307.1
2025-01-10 08:45:11,310.4
2025-01-10 09:00:13,315.1
2025-01-10 09:15:11,312.3
2025-01-10 09:30:11,315.2
2025-01-10 09:45:11,318.7
2025-01-10 10:00:13,321.3
2025-01-10 10:15:11,321.6
2025-01-10 10:30:11,324.0
2025-01-10 10:45:11,323.7
2025-01-10 11:00:18,323.5
2025-01-10 11:15:11,323.9
2025-01-10 11:30:11,324.6
2025-01-10 11:45:12,322.6
2025-01-10 12:00:14,324.7
2025-01-10 12:15:11,323.7
2025-01-10 12:30:11,320.7
2025-01-10 12:45:11,319.7
2025-01-10 13:00:13,322.5
2025-01-10 13:15:11,321.7
2025-01-10 13:30:13,321.5
2025-01-10 13:45:11,320.8
2025-01-10 14:00:13,320.3
2025-01-10 14:15:12,319.7
2025-01-10 14:30:12,319.8
2025-01-10 14:45:12,318.2
2025-01-10 15:00:13,313.1
2025-01-10 15:15:10,315.2
2025-01-10 15:30:12,312.9
2025-01-10 15:45:11,315.3
2025-01-10 16:00:12,316.4
2025-01-10 16:15:11,316.2
2025-01-10 16:30:13,309.4
2025-01-10 16:45:12,311.7
2025-01-10 17:00:12,309.3
2025-01-10 17:15:10,313.8
2025-01-10 17:30:10,315.4
2025-01-10 17:45:09,318.5
2025-01-10 18:00:13,320.3
2025-01-10 18:15:09,322.8
2025-01-10 18:30:09,323.9
2025-01-10 18:45:10,321.2
2025-01-10 19:00:11,320.2
2025-01-10 19:15:10,317.1
2025-01-10 19:30:11,319.3
2025-01-10 19:45:11,319.6
2025-01-10 20:00:11,316.3
2025-01-10 20:15:10,316.7
2025-01-10 20:30:09,319.9
2025-01-10 20:45:10,320.2
2025-01-10 21:00:11,317.4
2025-01-10 21:15:11,316.2
2025-01-10 21:30:10,317.3
2025-01-10 21:45:10,313.4
2025-01-10 22:00:14,308.0
2025-01-10 22:15:09,307.2
2025-01-10 22:30:10,305.8
2025-01-10 22:45:11,301.6
2025-01-10 23:00:14,302.6
2025-01-10 23:15:11,301.0
2025-01-10 23:30:10,297.3
2025-01-10 23:45:10,298.3
