date,value,weather_temp_mean,weather_precip_sum,weather_wind_mean,holiday_count,is_weekend,weather_temp_mean_lag1,weather_temp_mean_lag3,weather_precip_sum_lag1,weather_precip_sum_lag3,weather_wind_mean_lag1,weather_wind_mean_lag3,holiday_count_lag1,holiday_count_lag3,is_weekend_lag1,is_weekend_lag3,season_sin,season_cos,value_lag1,value_lag2,value_lag12,value_roll_mean_3,value_roll_mean_6,value_roll_mean_12,Days,target,predictor,var1,var2,Industrial_Production,Consumer_Price_Index,Oil,API_WELLNO,ReportDate
2003-12-01,29040.209,11.591935483870968,48.47600000000001,14.423806451612904,1,0.2580645161290322,17.27156666666667,24.080300000000005,56.80100000000001,106.825,14.168533333333334,9.0948,2.0,1.0,0.3333333333333333,0.2666666666666666,-2.4492935982947064e-16,1.0,28094.336,29649.701,29653.578,28928.081999999995,32834.4585,31599.97366666667,1064,29040.209,28094.336,29040.209,28094.336,29040.209,28094.336,29040.209,entity_001,2003-12-01
2004-01-01,30156.78023,11.443709677419356,77.456,12.967548387096777,2,0.2903225806451613,11.591935483870968,21.197161290322583,48.47600000000001,54.541,14.423806451612904,10.42609677419355,1.0,1.0,0.2580645161290322,0.2580645161290322,0.49999999999999994,0.8660254037844387,29040.209,28094.336,31481.066,29097.108409999997,31579.494871666666,31489.61651916667,1095,30156.78023,29040.209,30156.78023,29040.209,30156.78023,29040.209,30156.78023,entity_001,2004-01-01
2004-02-01,28775.70301,10.03644827586207,133.003,13.415068965517245,1,0.3103448275862069,11.443709677419356,17.27156666666667,77.456,56.80100000000001,12.967548387096777,14.168533333333334,2.0,2.0,0.2903225806451613,0.3333333333333333,0.8660254037844386,0.5000000000000001,30156.78023,29040.209,27728.85,29324.230746666668,29737.78187333333,31576.85427,1126,28775.70301,30156.78023,28775.70301,30156.78023,28775.70301,30156.78023,28775.70301,entity_001,2004-02-01
2004-03-01,28321.40846,17.63993548387097,58.318000000000005,13.533580645161292,0,0.2580645161290322,10.03644827586207,11.591935483870968,133.003,48.47600000000001,13.415068965517245,14.423806451612904,1.0,1.0,0.3103448275862069,0.2580645161290322,1.0,6.123233995736766e-17,28775.70301,30156.78023,27561.026,29084.630566666663,29006.35628333333,31640.219475,1155,28321.40846,28775.70301,28321.40846,28775.70301,28321.40846,28775.70301,28321.40846,entity_001,2004-03-01
2004-04-01,27791.93135,19.55023333333333,126.872,14.1283,0,0.2666666666666666,17.63993548387097,11.443709677419356,58.318000000000005,77.456,13.533580645161292,12.967548387096777,0.0,2.0,0.2580645161290322,0.2903225806451613,0.8660254037844387,-0.49999999999999983,28321.40846,28775.70301,27798.918,28296.347606666663,28696.72800833333,31639.637254166668,1186,27791.93135,28321.40846,27791.93135,28321.40846,27791.93135,28321.40846,27791.93135,entity_001,2004-04-01
2004-05-01,33666.06637,23.14745161290323,103.138,15.22845161290323,1,0.3225806451612903,19.55023333333333,10.03644827586207,126.872,133.003,14.1283,13.415068965517245,0.0,1.0,0.2666666666666666,0.3103448275862069,0.49999999999999994,-0.8660254037844387,27791.93135,28321.40846,33088.612,29926.468726666662,29625.349736666667,31687.75845166667,1216,33666.06637,27791.93135,33666.06637,27791.93135,33666.06637,27791.93135,33666.06637,entity_001,2004-05-01
2004-06-01,35388.92106,25.84436666666667,250.93400000000003,11.102133333333336,0,0.2666666666666666,23.14745161290323,17.63993548387097,103.138,58.318000000000005,15.22845161290323,13.533580645161292,1.0,0.0,0.3225806451612903,0.2580645161290322,1.2246467991473532e-16,-1.0,33666.06637,27791.93135,34534.461,32282.306259999998,30683.468413333336,31758.963456666665,1247,35388.92106,33666.06637,35388.92106,33666.06637,35388.92106,33666.06637,35388.92106,entity_001,2004-06-01
2004-07-01,39027.77825,27.652806451612907,47.90500000000001,10.015967741935484,2,0.2903225806451613,25.84436666666667,19.55023333333333,250.93400000000003,126.872,11.102133333333336,14.1283,0.0,0.0,0.2666666666666666,0.2666666666666666,-0.4999999999999998,-0.8660254037844388,35388.92106,33666.06637,37686.562,36027.58856,32161.968083333337,31870.7314775,1277,39027.77825,35388.92106,39027.77825,35388.92106,39027.77825,35388.92106,39027.77825,entity_001,2004-07-01
2004-08-01,38636.04256,27.651645161290325,52.88700000000001,9.70667741935484,0,0.2903225806451613,27.652806451612907,23.14745161290323,47.90500000000001,103.138,10.015967741935484,15.22845161290323,2.0,1.0,0.2903225806451613,0.3225806451612903,-0.8660254037844384,-0.5000000000000004,39027.77825,35388.92106,39825.981,37684.24729,33805.358008333336,31771.56994083333,1308,38636.04256,39027.77825,38636.04256,39027.77825,38636.04256,39027.77825,38636.04256,entity_001,2004-08-01
2004-09-01,35314.81494,26.26383333333333,27.826,9.159,1,0.2666666666666666,27.651645161290325,25.84436666666667,52.88700000000001,250.93400000000003,9.70667741935484,11.102133333333336,0.0,0.0,0.2903225806451613,0.2666666666666666,-1.0,-1.8369701987210297e-16,38636.04256,39027.77825,32709.962,37659.54525,34970.925755,31988.641019166666,1339,35314.81494,38636.04256,35314.81494,38636.04256,35314.81494,38636.04256,35314.81494,entity_001,2004-09-01
2004-10-01,32782.26394,23.385258064516133,84.27600000000001,12.428064516129034,1,0.3225806451612903,26.26383333333333,27.652806451612907,27.826,47.90500000000001,9.159,10.015967741935484,1.0,2.0,0.2666666666666666,0.2903225806451613,-0.8660254037844386,0.5000000000000001,35314.81494,38636.04256,29649.701,35577.70714666666,35802.647853333336,32249.687930833334,1369,32782.26394,35314.81494,32782.26394,35314.81494,32782.26394,35314.81494,32782.26394,entity_001,2004-10-01
