,Unnamed: 0,year,negative,positive,Topic,decade,num_conflicts,avg_hostility,total_fatalities,life_expectancy,democracy_frequency,economy_frequency,equality_frequency,freedom_frequency,justice_frequency,liberty_frequency,num_conflicts_lag1,avg_hostility_lag1,total_fatalities_lag1,num_conflicts_lag5,avg_hostility_lag5,total_fatalities_lag5,num_conflicts_lag10,avg_hostility_lag10,total_fatalities_lag10,log_gdp_percap,log_sentiment
1120,1304,1919-01-01,0.0,0.0,democracy_frequency,1910,1.0,4.0,0.0,54.0,0.515435639605823,0.1135377056809026,0.1080486470010701,0.1799963242583868,0.2546328962783444,0.2632443800025453,1.0,4.0,0.0,1.0,4.0,0.0,2.0,4.0,0.0,8.698315831598608,2.191660736928054e-05
822,902,1919-01-01,0.0,0.0,economy_frequency,1910,1.0,4.0,0.0,54.0,0.515435639605823,0.1135377056809026,0.1080486470010701,0.1799963242583868,0.2546328962783444,0.2632443800025453,1.0,4.0,0.0,1.0,4.0,0.0,2.0,4.0,0.0,8.698315831598608,3.2145881738547415e-05
673,703,1919-01-01,0.0,0.0,Life_expectancy,1910,1.0,4.0,0.0,54.0,0.515435639605823,0.1135377056809026,0.1080486470010701,0.1799963242583868,0.2546328962783444,0.2632443800025453,1.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,8.698315831598608,4.007333185232471
333,333,1919-01-01,0.0538,0.0872,Liberty,1910,1.0,4.0,0.0,54.0,0.515435639605823,0.1135377056809026,0.1080486470010701,0.1799963242583868,0.2546328962783444,0.2632443800025453,1.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,8.698315831598608,0.5856538364841956
1121,1305,1920-01-01,0.0,0.0,democracy_frequency,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,1.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,8.71734581658521,2.1734720324371466e-05
1419,1707,1920-01-01,0.0,0.0,justice_frequency,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,8.71734581658521,5.842203674169318e-05
1568,1908,1920-01-01,0.0,0.0,liberty_frequency,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,8.71734581658521,3.375328660088227e-05
972,1104,1920-01-01,0.0,0.0,equality_frequency,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,8.71734581658521,1.0190442009645752e-05
1270,1506,1920-01-01,0.0,0.0,freedom_frequency,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,8.71734581658521,3.9453560765986485e-05
823,903,1920-01-01,0.0,0.0,economy_frequency,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,8.71734581658521,3.198255212145445e-05
334,334,1920-01-01,0.0458,0.0967,Liberty,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,8.71734581658521,0.5849270244695491
674,704,1920-01-01,0.0,0.0,Life_expectancy,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,8.71734581658521,4.009149716158869
220,220,1920-01-01,0.05215,0.1156,Freedom,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,8.71734581658521,0.6925119788620553
2,2,1920-01-01,0.04665,0.10955,Economy,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,8.71734581658521,0.6918838829354156
411,411,1920-01-01,0.05815,0.11705,Democracy,1920,0.0,0.0,0.0,54.1,0.510229267303779,0.1113049777765683,0.1303889346629864,0.1857925005956182,0.2426426941835163,0.257201144339259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71734581658521,0.6924594441234473
