,year,composite,negative,positive,Topic
,1885,0.699395,0.0666,0.09615,Democracy
,1886,0.79903,0.05655,0.0937,Democracy
,1887,0.798715,0.0646,0.1019,Democracy
,1888,0.8998,0.05825,0.1062,Democracy
,1889,0.49994,0.0596,0.09635,Democracy
,1890,0.795805,0.06585,0.1123,Democracy
,1891,0.39974,0.06865,0.0867,Democracy
,1892,0.400515,0.0659,0.08995,Democracy
,1893,0.79605,0.0634,0.09865,Democracy
,1894,0.78788,0.0602,0.10155,Democracy
,1895,0.999085,0.0578,0.10305,Democracy
,1896,0.89923,0.07055,0.1039,Democracy
,1897,0.702345,0.06475,0.1019,Democracy
,1898,0.79866,0.0541,0.0981,Democracy
,1899,0.71602,0.0683,0.11035,Democracy
,1900,0.89773,0.06985,0.1056,Democracy
,1901,0.79957,0.0608,0.10065,Democracy
,1902,0.699655,0.0601,0.0954,Democracy
,1903,0.999625,0.05515,0.0968,Democracy
,1904,0.901035,0.0508,0.0983,Democracy
,1905,0.678915,0.0593,0.0999,Democracy
,1906,0.89881,0.0528,0.1003,Democracy
,1907,0.65039,0.05995,0.09705,Democracy
,1908,0.930235,0.06165,0.10595,Democracy
,1909,0.798905,0.06215,0.107,Democracy
,1910,0.995225,0.05085,0.10665,Democracy
,1911,0.898625,0.0547,0.09835,Democracy
,1912,0.89935,0.05505,0.10825,Democracy
,1913,0.813425,0.0584,0.11175,Democracy
,1914,0.887575,0.0551,0.11625,Democracy
,1915,0.898855,0.05745,0.1206,Democracy
,1916,0.799495,0.06275,0.10595,Democracy
,1917,0.802935,0.06325,0.1295,Democracy
,1918,0.601845,0.0709,0.1125,Democracy
,1919,0.796005,0.06215,0.1035,Democracy
,1920,0.998625,0.05815,0.11705,Democracy
,1921,0.99923,0.05295,0.1136,Democracy
,1922,0.899635,0.0536,0.1139,Democracy
,1923,0.703475,0.0626,0.1043,Democracy
,1924,0.99747,0.0584,0.10615,Democracy
,1925,0.60694,0.0621,0.09895,Democracy
,1926,0.603395,0.06325,0.10225,Democracy
,1927,0.89593,0.06435,0.1097,Democracy
,1928,0.796495,0.06765,0.0984,Democracy
,1929,0.786755,0.06685,0.11225,Democracy
,1930,0.29977,0.07515,0.0952,Democracy
,1931,0.600265,0.07245,0.106,Democracy
,1932,0.70177,0.06415,0.0992,Democracy
,1933,0.663915,0.06815,0.0951,Democracy
,1934,0.499665,0.0714,0.0999,Democracy
,1935,0.598535,0.0814,0.10845,Democracy
,1936,0.699855,0.06815,0.1072,Democracy
,1937,0.7996,0.0662,0.1072,Democracy
,1938,0.788625,0.06745,0.09575,Democracy
,1939,0.76862,0.0693,0.10725,Democracy
,1940,0.49949,0.07055,0.0964,Democracy
,1941,0.501185,0.0731,0.10525,Democracy
,1942,0.80339,0.0693,0.10785,Democracy
,1943,0.41203,0.0813,0.11375,Democracy
,1944,0.591645,0.07125,0.09645,Democracy
,1945,0.20102,0.07765,0.0997,Democracy
,1946,0.71478,0.06935,0.1011,Democracy
,1947,0.90181,0.0489,0.1014,Democracy
,1948,0.997615,0.04955,0.09845,Democracy
