,State,Station,Year,Ridership
6657,California,"Lompoc-Surf, California",2011-01-01,5950.0
6057,California,"Lompoc-Surf, California",2012-01-01,7096.0
5457,California,"Lompoc-Surf, California",2013-01-01,8341.0
4857,California,"Lompoc-Surf, California",2014-01-01,8097.0
4257,California,"Lompoc-Surf, California",2015-01-01,8158.0
3657,California,"Lompoc-Surf, California",2016-01-01,7921.0
3057,California,"Lompoc-Surf, California",2017-01-01,7823.0
2457,California,"Lompoc-Surf, California",2018-01-01,5946.0
1857,California,"Lompoc-Surf, California",2019-01-01,6610.0
1257,California,"Lompoc-Surf, California",2020-01-01,5093.0
657,California,"Lompoc-Surf, California",2021-01-01,3712.0
57,California,"Lompoc-Surf, California",2022-01-01,7560.0
10709,Texas,"Longview, Texas",2005-01-01,12664.0
10109,Texas,"Longview, Texas",2006-01-01,12144.0
9509,Texas,"Longview, Texas",2007-01-01,21610.0
8909,Texas,"Longview, Texas",2008-01-01,27920.0
8309,Texas,"Longview, Texas",2009-01-01,28828.0
7709,Texas,"Longview, Texas",2010-01-01,34033.0
7109,Texas,"Longview, Texas",2011-01-01,35469.0
6509,Texas,"Longview, Texas",2012-01-01,49126.0
5909,Texas,"Longview, Texas",2013-01-01,41305.0
5309,Texas,"Longview, Texas",2014-01-01,38365.0
4709,Texas,"Longview, Texas",2015-01-01,32278.0
4109,Texas,"Longview, Texas",2016-01-01,29448.0
3509,Texas,"Longview, Texas",2017-01-01,33936.0
2909,Texas,"Longview, Texas",2018-01-01,34768.0
2309,Texas,"Longview, Texas",2019-01-01,28836.0
1709,Texas,"Longview, Texas",2020-01-01,18882.0
1109,Texas,"Longview, Texas",2021-01-01,14802.0
509,Texas,"Longview, Texas",2022-01-01,23412.0
10571,New Mexico,"Lordsburg, New Mexico",2005-01-01,117.0
9971,New Mexico,"Lordsburg, New Mexico",2006-01-01,173.0
9371,New Mexico,"Lordsburg, New Mexico",2007-01-01,397.0
8771,New Mexico,"Lordsburg, New Mexico",2008-01-01,393.0
8171,New Mexico,"Lordsburg, New Mexico",2009-01-01,404.0
7571,New Mexico,"Lordsburg, New Mexico",2010-01-01,472.0
6971,New Mexico,"Lordsburg, New Mexico",2011-01-01,510.0
6371,New Mexico,"Lordsburg, New Mexico",2012-01-01,483.0
5771,New Mexico,"Lordsburg, New Mexico",2013-01-01,736.0
5171,New Mexico,"Lordsburg, New Mexico",2014-01-01,729.0
4571,New Mexico,"Lordsburg, New Mexico",2015-01-01,842.0
3971,New Mexico,"Lordsburg, New Mexico",2016-01-01,579.0
3371,New Mexico,"Lordsburg, New Mexico",2017-01-01,742.0
2771,New Mexico,"Lordsburg, New Mexico",2018-01-01,733.0
2171,New Mexico,"Lordsburg, New Mexico",2019-01-01,624.0
1571,New Mexico,"Lordsburg, New Mexico",2020-01-01,455.0
971,New Mexico,"Lordsburg, New Mexico",2021-01-01,519.0
371,New Mexico,"Lordsburg, New Mexico",2022-01-01,661.0
10747,Virginia,"Lorton (Auto Train), Virginia",2005-01-01,108434.0
10147,Virginia,"Lorton (Auto Train), Virginia",2006-01-01,107834.0
9547,Virginia,"Lorton (Auto Train), Virginia",2007-01-01,217822.0
8947,Virginia,"Lorton (Auto Train), Virginia",2008-01-01,234839.0
8347,Virginia,"Lorton (Auto Train), Virginia",2009-01-01,232955.0
7747,Virginia,"Lorton (Auto Train), Virginia",2010-01-01,244252.0
7147,Virginia,"Lorton (Auto Train), Virginia",2011-01-01,259944.0
6547,Virginia,"Lorton (Auto Train), Virginia",2012-01-01,264096.0
5947,Virginia,"Lorton (Auto Train), Virginia",2013-01-01,265274.0
5347,Virginia,"Lorton (Auto Train), Virginia",2014-01-01,274445.0
4747,Virginia,"Lorton (Auto Train), Virginia",2015-01-01,271622.0
4147,Virginia,"Lorton (Auto Train), Virginia",2016-01-01,238448.0
3547,Virginia,"Lorton (Auto Train), Virginia",2017-01-01,228943.0
2947,Virginia,"Lorton (Auto Train), Virginia",2018-01-01,224812.0
2347,Virginia,"Lorton (Auto Train), Virginia",2019-01-01,236035.0
1747,Virginia,"Lorton (Auto Train), Virginia",2020-01-01,163468.0
1147,Virginia,"Lorton (Auto Train), Virginia",2021-01-01,197708.0
547,Virginia,"Lorton (Auto Train), Virginia",2022-01-01,269381.0
10258,California,"Los Angeles, California",2005-01-01,690068.0
9658,California,"Los Angeles, California",2006-01-01,707250.0
9058,California,"Los Angeles, California",2007-01-01,1464289.0
8458,California,"Los Angeles, California",2008-01-01,1582364.0
7858,California,"Los Angeles, California",2009-01-01,1475920.0
7258,California,"Los Angeles, California",2010-01-01,1517342.0
6658,California,"Los Angeles, California",2011-01-01,1606121.0
6058,California,"Los Angeles, California",2012-01-01,1657446.0
5458,California,"Los Angeles, California",2013-01-01,1643706.0
4858,California,"Los Angeles, California",2014-01-01,1551090.0
4258,California,"Los Angeles, California",2015-01-01,1589391.0
3658,California,"Los Angeles, California",2016-01-01,1635039.0
3058,California,"Los Angeles, California",2017-01-01,1716392.0
2458,California,"Los Angeles, California",2018-01-01,1717405.0
1858,California,"Los Angeles, California",2019-01-01,1413006.0
1258,California,"Los Angeles, California",2020-01-01,708925.0
658,California,"Los Angeles, California",2021-01-01,466417.0
58,California,"Los Angeles, California",2022-01-01,928558.0
10431,Kentucky,"Louisville, Kentucky",2005-01-01,50.0
9831,Kentucky,"Louisville, Kentucky",2006-01-01,50.0
10748,Virginia,"Lynchburg, Virginia",2005-01-01,8498.0
10148,Virginia,"Lynchburg, Virginia",2006-01-01,8117.0
9548,Virginia,"Lynchburg, Virginia",2007-01-01,18744.0
8948,Virginia,"Lynchburg, Virginia",2008-01-01,25383.0
8348,Virginia,"Lynchburg, Virginia",2009-01-01,23641.0
7748,Virginia,"Lynchburg, Virginia",2010-01-01,58348.0
7148,Virginia,"Lynchburg, Virginia",2011-01-01,76179.0
6548,Virginia,"Lynchburg, Virginia",2012-01-01,86498.0
5948,Virginia,"Lynchburg, Virginia",2013-01-01,93337.0
5348,Virginia,"Lynchburg, Virginia",2014-01-01,86302.0
4748,Virginia,"Lynchburg, Virginia",2015-01-01,84975.0
4148,Virginia,"Lynchburg, Virginia",2016-01-01,82786.0
3548,Virginia,"Lynchburg, Virginia",2017-01-01,82251.0
2948,Virginia,"Lynchburg, Virginia",2018-01-01,58160.0
2348,Virginia,"Lynchburg, Virginia",2019-01-01,54632.0
1748,Virginia,"Lynchburg, Virginia",2020-01-01,31361.0
1148,Virginia,"Lynchburg, Virginia",2021-01-01,28459.0
548,Virginia,"Lynchburg, Virginia",2022-01-01,48326.0
10391,Illinois,"Macomb, Illinois",2005-01-01,19121.0
9791,Illinois,"Macomb, Illinois",2006-01-01,19482.0
9191,Illinois,"Macomb, Illinois",2007-01-01,58262.0
8591,Illinois,"Macomb, Illinois",2008-01-01,69193.0
7991,Illinois,"Macomb, Illinois",2009-01-01,69795.0
7391,Illinois,"Macomb, Illinois",2010-01-01,72717.0
6791,Illinois,"Macomb, Illinois",2011-01-01,78129.0
6191,Illinois,"Macomb, Illinois",2012-01-01,80000.0
5591,Illinois,"Macomb, Illinois",2013-01-01,77082.0
4991,Illinois,"Macomb, Illinois",2014-01-01,72550.0
4391,Illinois,"Macomb, Illinois",2015-01-01,71231.0
3791,Illinois,"Macomb, Illinois",2016-01-01,67981.0
3191,Illinois,"Macomb, Illinois",2017-01-01,67011.0
2591,Illinois,"Macomb, Illinois",2018-01-01,61002.0
1991,Illinois,"Macomb, Illinois",2019-01-01,56878.0
1391,Illinois,"Macomb, Illinois",2020-01-01,33061.0
791,Illinois,"Macomb, Illinois",2021-01-01,25707.0
191,Illinois,"Macomb, Illinois",2022-01-01,41675.0
10259,California,"Madera, California",2005-01-01,5565.0
9659,California,"Madera, California",2006-01-01,6071.0
9059,California,"Madera, California",2007-01-01,14362.0
8459,California,"Madera, California",2008-01-01,17875.0
7859,California,"Madera, California",2009-01-01,17071.0
7259,California,"Madera, California",2010-01-01,20031.0
6659,California,"Madera, California",2011-01-01,21739.0
6059,California,"Madera, California",2012-01-01,24770.0
5459,California,"Madera, California",2013-01-01,27474.0
4859,California,"Madera, California",2014-01-01,28993.0
4259,California,"Madera, California",2015-01-01,27718.0
3659,California,"Madera, California",2016-01-01,27136.0
3059,California,"Madera, California",2017-01-01,27751.0
2459,California,"Madera, California",2018-01-01,28384.0
1859,California,"Madera, California",2019-01-01,27591.0
1259,California,"Madera, California",2020-01-01,16854.0
659,California,"Madera, California",2021-01-01,11819.0
59,California,"Madera, California",2022-01-01,19014.0
10349,Florida,"Madison, Florida",2005-01-01,187.0
10535,Montana,"Malta, Montana",2005-01-01,1717.0
9935,Montana,"Malta, Montana",2006-01-01,1790.0
9335,Montana,"Malta, Montana",2007-01-01,3661.0
8735,Montana,"Malta, Montana",2008-01-01,4095.0
8135,Montana,"Malta, Montana",2009-01-01,3611.0
7535,Montana,"Malta, Montana",2010-01-01,3372.0
6935,Montana,"Malta, Montana",2011-01-01,2934.0
6335,Montana,"Malta, Montana",2012-01-01,3466.0
5735,Montana,"Malta, Montana",2013-01-01,3956.0
5135,Montana,"Malta, Montana",2014-01-01,3165.0
4535,Montana,"Malta, Montana",2015-01-01,3211.0
3935,Montana,"Malta, Montana",2016-01-01,3829.0
3335,Montana,"Malta, Montana",2017-01-01,3695.0
2735,Montana,"Malta, Montana",2018-01-01,3570.0
2135,Montana,"Malta, Montana",2019-01-01,4265.0
1535,Montana,"Malta, Montana",2020-01-01,2806.0
935,Montana,"Malta, Montana",2021-01-01,2598.0
335,Montana,"Malta, Montana",2022-01-01,3610.0
10217,Arkansas,"Malvern, Arkansas",2005-01-01,779.0
9617,Arkansas,"Malvern, Arkansas",2006-01-01,645.0
9017,Arkansas,"Malvern, Arkansas",2007-01-01,1547.0
8417,Arkansas,"Malvern, Arkansas",2008-01-01,1716.0
7817,Arkansas,"Malvern, Arkansas",2009-01-01,1702.0
7217,Arkansas,"Malvern, Arkansas",2010-01-01,1833.0
6617,Arkansas,"Malvern, Arkansas",2011-01-01,1750.0
6017,Arkansas,"Malvern, Arkansas",2012-01-01,2105.0
5417,Arkansas,"Malvern, Arkansas",2013-01-01,2101.0
4817,Arkansas,"Malvern, Arkansas",2014-01-01,1896.0
4217,Arkansas,"Malvern, Arkansas",2015-01-01,1760.0
3617,Arkansas,"Malvern, Arkansas",2016-01-01,1729.0
3017,Arkansas,"Malvern, Arkansas",2017-01-01,1688.0
2417,Arkansas,"Malvern, Arkansas",2018-01-01,1693.0
1817,Arkansas,"Malvern, Arkansas",2019-01-01,1598.0
1217,Arkansas,"Malvern, Arkansas",2020-01-01,1038.0
617,Arkansas,"Malvern, Arkansas",2021-01-01,878.0
17,Arkansas,"Malvern, Arkansas",2022-01-01,1558.0
10749,Virginia,"Manassas, Virginia",2005-01-01,3774.0
10149,Virginia,"Manassas, Virginia",2006-01-01,3392.0
9549,Virginia,"Manassas, Virginia",2007-01-01,8178.0
8949,Virginia,"Manassas, Virginia",2008-01-01,9644.0
8349,Virginia,"Manassas, Virginia",2009-01-01,9204.0
7749,Virginia,"Manassas, Virginia",2010-01-01,16239.0
7149,Virginia,"Manassas, Virginia",2011-01-01,20264.0
6549,Virginia,"Manassas, Virginia",2012-01-01,23923.0
5949,Virginia,"Manassas, Virginia",2013-01-01,29070.0
5349,Virginia,"Manassas, Virginia",2014-01-01,29104.0
4749,Virginia,"Manassas, Virginia",2015-01-01,28220.0
4149,Virginia,"Manassas, Virginia",2016-01-01,27597.0
3549,Virginia,"Manassas, Virginia",2017-01-01,28619.0
2949,Virginia,"Manassas, Virginia",2018-01-01,30340.0
2349,Virginia,"Manassas, Virginia",2019-01-01,26234.0
1749,Virginia,"Manassas, Virginia",2020-01-01,15528.0
1149,Virginia,"Manassas, Virginia",2021-01-01,15010.0
549,Virginia,"Manassas, Virginia",2022-01-01,28823.0
10208,Arizona,"Maricopa, Arizona",2005-01-01,3023.0
9608,Arizona,"Maricopa, Arizona",2006-01-01,2453.0
9008,Arizona,"Maricopa, Arizona",2007-01-01,5764.0
8408,Arizona,"Maricopa, Arizona",2008-01-01,6393.0
7808,Arizona,"Maricopa, Arizona",2009-01-01,7662.0
7208,Arizona,"Maricopa, Arizona",2010-01-01,8764.0
6608,Arizona,"Maricopa, Arizona",2011-01-01,9819.0
6008,Arizona,"Maricopa, Arizona",2012-01-01,10804.0
5408,Arizona,"Maricopa, Arizona",2013-01-01,12945.0
4808,Arizona,"Maricopa, Arizona",2014-01-01,12729.0
4208,Arizona,"Maricopa, Arizona",2015-01-01,12162.0
3608,Arizona,"Maricopa, Arizona",2016-01-01,11250.0
3008,Arizona,"Maricopa, Arizona",2017-01-01,11849.0
2408,Arizona,"Maricopa, Arizona",2018-01-01,11744.0
1808,Arizona,"Maricopa, Arizona",2019-01-01,11194.0
1208,Arizona,"Maricopa, Arizona",2020-01-01,7843.0
608,Arizona,"Maricopa, Arizona",2021-01-01,8251.0
8,Arizona,"Maricopa, Arizona",2022-01-01,10520.0
2709,Mississippi,"Marks, Mississippi",2018-01-01,622.0
2108,Mississippi,"Marks, Mississippi",2019-01-01,2542.0
1508,Mississippi,"Marks, Mississippi",2020-01-01,1871.0
908,Mississippi,"Marks, Mississippi",2021-01-01,1804.0
308,Mississippi,"Marks, Mississippi",2022-01-01,2904.0
10710,Texas,"Marshall, Texas",2005-01-01,3147.0
10110,Texas,"Marshall, Texas",2006-01-01,3040.0
9510,Texas,"Marshall, Texas",2007-01-01,5469.0
8910,Texas,"Marshall, Texas",2008-01-01,7406.0
8310,Texas,"Marshall, Texas",2009-01-01,6988.0
7710,Texas,"Marshall, Texas",2010-01-01,8709.0
7110,Texas,"Marshall, Texas",2011-01-01,9021.0
6510,Texas,"Marshall, Texas",2012-01-01,10025.0
5910,Texas,"Marshall, Texas",2013-01-01,10555.0
5310,Texas,"Marshall, Texas",2014-01-01,10184.0
4710,Texas,"Marshall, Texas",2015-01-01,9390.0
4110,Texas,"Marshall, Texas",2016-01-01,8005.0
3510,Texas,"Marshall, Texas",2017-01-01,8404.0
2910,Texas,"Marshall, Texas",2018-01-01,8371.0
2310,Texas,"Marshall, Texas",2019-01-01,6694.0
1710,Texas,"Marshall, Texas",2020-01-01,4305.0
1110,Texas,"Marshall, Texas",2021-01-01,3119.0
510,Texas,"Marshall, Texas",2022-01-01,5279.0
10260,California,"Martinez, California",2005-01-01,150222.0
9660,California,"Martinez, California",2006-01-01,144605.0
9060,California,"Martinez, California",2007-01-01,380477.0
8460,California,"Martinez, California",2008-01-01,398683.0
7860,California,"Martinez, California",2009-01-01,394814.0
7260,California,"Martinez, California",2010-01-01,410968.0
6660,California,"Martinez, California",2011-01-01,446507.0
6060,California,"Martinez, California",2012-01-01,475909.0
5460,California,"Martinez, California",2013-01-01,473836.0
4860,California,"Martinez, California",2014-01-01,359755.0
4260,California,"Martinez, California",2015-01-01,363717.0
3660,California,"Martinez, California",2016-01-01,364372.0
3060,California,"Martinez, California",2017-01-01,347095.0
2460,California,"Martinez, California",2018-01-01,346051.0
1860,California,"Martinez, California",2019-01-01,352068.0
1260,California,"Martinez, California",2020-01-01,197953.0
660,California,"Martinez, California",2021-01-01,124389.0
60,California,"Martinez, California",2022-01-01,176571.0
10786,West Virginia,"Martinsburg, West Virginia",2005-01-01,2659.0
10186,West Virginia,"Martinsburg, West Virginia",2006-01-01,2828.0
9586,West Virginia,"Martinsburg, West Virginia",2007-01-01,5910.0
8986,West Virginia,"Martinsburg, West Virginia",2008-01-01,7068.0
8386,West Virginia,"Martinsburg, West Virginia",2009-01-01,6956.0
7786,West Virginia,"Martinsburg, West Virginia",2010-01-01,6986.0
7186,West Virginia,"Martinsburg, West Virginia",2011-01-01,7734.0
6586,West Virginia,"Martinsburg, West Virginia",2012-01-01,8641.0
5986,West Virginia,"Martinsburg, West Virginia",2013-01-01,9331.0
5386,West Virginia,"Martinsburg, West Virginia",2014-01-01,9824.0
4786,West Virginia,"Martinsburg, West Virginia",2015-01-01,10309.0
4186,West Virginia,"Martinsburg, West Virginia",2016-01-01,11121.0
3586,West Virginia,"Martinsburg, West Virginia",2017-01-01,11267.0
2986,West Virginia,"Martinsburg, West Virginia",2018-01-01,10784.0
2386,West Virginia,"Martinsburg, West Virginia",2019-01-01,10917.0
1786,West Virginia,"Martinsburg, West Virginia",2020-01-01,7347.0
1186,West Virginia,"Martinsburg, West Virginia",2021-01-01,5357.0
586,West Virginia,"Martinsburg, West Virginia",2022-01-01,8148.0
10392,Illinois,"Mattoon, Illinois",2005-01-01,7730.0
9792,Illinois,"Mattoon, Illinois",2006-01-01,8794.0
9192,Illinois,"Mattoon, Illinois",2007-01-01,27336.0
8592,Illinois,"Mattoon, Illinois",2008-01-01,31078.0
7992,Illinois,"Mattoon, Illinois",2009-01-01,29587.0
7392,Illinois,"Mattoon, Illinois",2010-01-01,32818.0
6792,Illinois,"Mattoon, Illinois",2011-01-01,38328.0
6192,Illinois,"Mattoon, Illinois",2012-01-01,42011.0
5592,Illinois,"Mattoon, Illinois",2013-01-01,44598.0
4992,Illinois,"Mattoon, Illinois",2014-01-01,42872.0
4392,Illinois,"Mattoon, Illinois",2015-01-01,41956.0
3792,Illinois,"Mattoon, Illinois",2016-01-01,37536.0
3192,Illinois,"Mattoon, Illinois",2017-01-01,35822.0
2592,Illinois,"Mattoon, Illinois",2018-01-01,34279.0
1992,Illinois,"Mattoon, Illinois",2019-01-01,34023.0
1392,Illinois,"Mattoon, Illinois",2020-01-01,19908.0
792,Illinois,"Mattoon, Illinois",2021-01-01,15735.0
192,Illinois,"Mattoon, Illinois",2022-01-01,22004.0
10432,Kentucky,"Maysville, Kentucky",2005-01-01,892.0
9832,Kentucky,"Maysville, Kentucky",2006-01-01,823.0
9232,Kentucky,"Maysville, Kentucky",2007-01-01,1772.0
8632,Kentucky,"Maysville, Kentucky",2008-01-01,1707.0
8032,Kentucky,"Maysville, Kentucky",2009-01-01,1855.0
7432,Kentucky,"Maysville, Kentucky",2010-01-01,1933.0
6832,Kentucky,"Maysville, Kentucky",2011-01-01,1817.0
6232,Kentucky,"Maysville, Kentucky",2012-01-01,2507.0
5632,Kentucky,"Maysville, Kentucky",2013-01-01,2411.0
5032,Kentucky,"Maysville, Kentucky",2014-01-01,2316.0
4432,Kentucky,"Maysville, Kentucky",2015-01-01,2279.0
3832,Kentucky,"Maysville, Kentucky",2016-01-01,2309.0
3232,Kentucky,"Maysville, Kentucky",2017-01-01,2214.0
2632,Kentucky,"Maysville, Kentucky",2018-01-01,2024.0
2032,Kentucky,"Maysville, Kentucky",2019-01-01,1993.0
1432,Kentucky,"Maysville, Kentucky",2020-01-01,1475.0
832,Kentucky,"Maysville, Kentucky",2021-01-01,1174.0
232,Kentucky,"Maysville, Kentucky",2022-01-01,1527.0
10510,Mississippi,"McComb, Mississippi",2005-01-01,2316.0
9910,Mississippi,"McComb, Mississippi",2006-01-01,3142.0
9310,Mississippi,"McComb, Mississippi",2007-01-01,6634.0
8110,Mississippi,"McComb, Mississippi",2009-01-01,7174.0
7510,Mississippi,"McComb, Mississippi",2010-01-01,7586.0
6910,Mississippi,"McComb, Mississippi",2011-01-01,6979.0
6310,Mississippi,"McComb, Mississippi",2012-01-01,6685.0
5710,Mississippi,"McComb, Mississippi",2013-01-01,6496.0
5110,Mississippi,"McComb, Mississippi",2014-01-01,6464.0
4510,Mississippi,"McComb, Mississippi",2015-01-01,6377.0
3910,Mississippi,"McComb, Mississippi",2016-01-01,5665.0
3310,Mississippi,"McComb, Mississippi",2017-01-01,5033.0
2710,Mississippi,"McComb, Mississippi",2018-01-01,4770.0
2110,Mississippi,"McComb, Mississippi",2019-01-01,3602.0
1510,Mississippi,"McComb, Mississippi",2020-01-01,3178.0
910,Mississippi,"McComb, Mississippi",2021-01-01,1906.0
310,Mississippi,"McComb, Mississippi",2022-01-01,2580.0
10545,Nebraska,"McCook, Nebraska",2005-01-01,1348.0
9945,Nebraska,"McCook, Nebraska",2006-01-01,1528.0
9345,Nebraska,"McCook, Nebraska",2007-01-01,3017.0
8745,Nebraska,"McCook, Nebraska",2008-01-01,2987.0
8145,Nebraska,"McCook, Nebraska",2009-01-01,2899.0
7545,Nebraska,"McCook, Nebraska",2010-01-01,3218.0
6945,Nebraska,"McCook, Nebraska",2011-01-01,2939.0
6345,Nebraska,"McCook, Nebraska",2012-01-01,3540.0
5745,Nebraska,"McCook, Nebraska",2013-01-01,3638.0
5145,Nebraska,"McCook, Nebraska",2014-01-01,3414.0
4545,Nebraska,"McCook, Nebraska",2015-01-01,3342.0
3945,Nebraska,"McCook, Nebraska",2016-01-01,3049.0
3345,Nebraska,"McCook, Nebraska",2017-01-01,2914.0
2145,Nebraska,"McCook, Nebraska",2019-01-01,3345.0
1545,Nebraska,"McCook, Nebraska",2020-01-01,2211.0
945,Nebraska,"McCook, Nebraska",2021-01-01,1314.0
345,Nebraska,"McCook, Nebraska",2022-01-01,1840.0
10711,Texas,"McGregor, Texas",2005-01-01,1136.0
10111,Texas,"McGregor, Texas",2006-01-01,982.0
9511,Texas,"McGregor, Texas",2007-01-01,2382.0
8911,Texas,"McGregor, Texas",2008-01-01,3141.0
8311,Texas,"McGregor, Texas",2009-01-01,4238.0
7711,Texas,"McGregor, Texas",2010-01-01,4240.0
7111,Texas,"McGregor, Texas",2011-01-01,4644.0
6511,Texas,"McGregor, Texas",2012-01-01,4988.0
5911,Texas,"McGregor, Texas",2013-01-01,5209.0
5311,Texas,"McGregor, Texas",2014-01-01,4328.0
4711,Texas,"McGregor, Texas",2015-01-01,4834.0
4111,Texas,"McGregor, Texas",2016-01-01,5194.0
3511,Texas,"McGregor, Texas",2017-01-01,5124.0
2911,Texas,"McGregor, Texas",2018-01-01,5061.0
2311,Texas,"McGregor, Texas",2019-01-01,5365.0
1711,Texas,"McGregor, Texas",2020-01-01,2890.0
1111,Texas,"McGregor, Texas",2021-01-01,2296.0
511,Texas,"McGregor, Texas",2022-01-01,3344.0
10696,Tennessee,"Memphis, Tennessee",2005-01-01,23317.0
10096,Tennessee,"Memphis, Tennessee",2006-01-01,21671.0
9496,Tennessee,"Memphis, Tennessee",2007-01-01,50049.0
8896,Tennessee,"Memphis, Tennessee",2008-01-01,54879.0
8296,Tennessee,"Memphis, Tennessee",2009-01-01,52507.0
7696,Tennessee,"Memphis, Tennessee",2010-01-01,62915.0
7096,Tennessee,"Memphis, Tennessee",2011-01-01,65769.0
6496,Tennessee,"Memphis, Tennessee",2012-01-01,73116.0
5896,Tennessee,"Memphis, Tennessee",2013-01-01,76171.0
5296,Tennessee,"Memphis, Tennessee",2014-01-01,69946.0
4696,Tennessee,"Memphis, Tennessee",2015-01-01,72044.0
4096,Tennessee,"Memphis, Tennessee",2016-01-01,72127.0
3496,Tennessee,"Memphis, Tennessee",2017-01-01,73637.0
2896,Tennessee,"Memphis, Tennessee",2018-01-01,71311.0
2296,Tennessee,"Memphis, Tennessee",2019-01-01,61193.0
1696,Tennessee,"Memphis, Tennessee",2020-01-01,32662.0
1096,Tennessee,"Memphis, Tennessee",2021-01-01,25332.0
496,Tennessee,"Memphis, Tennessee",2022-01-01,38891.0
10393,Illinois,"Mendota, Illinois",2005-01-01,5820.0
9793,Illinois,"Mendota, Illinois",2006-01-01,6214.0
9193,Illinois,"Mendota, Illinois",2007-01-01,15510.0
8593,Illinois,"Mendota, Illinois",2008-01-01,20677.0
7993,Illinois,"Mendota, Illinois",2009-01-01,21108.0
7393,Illinois,"Mendota, Illinois",2010-01-01,21082.0
6793,Illinois,"Mendota, Illinois",2011-01-01,23768.0
6193,Illinois,"Mendota, Illinois",2012-01-01,24250.0
5593,Illinois,"Mendota, Illinois",2013-01-01,25410.0
4993,Illinois,"Mendota, Illinois",2014-01-01,24019.0
4393,Illinois,"Mendota, Illinois",2015-01-01,24073.0
3793,Illinois,"Mendota, Illinois",2016-01-01,23736.0
3193,Illinois,"Mendota, Illinois",2017-01-01,23141.0
2593,Illinois,"Mendota, Illinois",2018-01-01,22276.0
1993,Illinois,"Mendota, Illinois",2019-01-01,22688.0
1393,Illinois,"Mendota, Illinois",2020-01-01,12322.0
793,Illinois,"Mendota, Illinois",2021-01-01,9002.0
193,Illinois,"Mendota, Illinois",2022-01-01,14892.0
10261,California,"Merced, California",2005-01-01,37641.0
9661,California,"Merced, California",2006-01-01,39591.0
9061,California,"Merced, California",2007-01-01,82136.0
8461,California,"Merced, California",2008-01-01,96406.0
7861,California,"Merced, California",2009-01-01,96488.0
7261,California,"Merced, California",2010-01-01,103505.0
6661,California,"Merced, California",2011-01-01,114401.0
6061,California,"Merced, California",2012-01-01,125316.0
5461,California,"Merced, California",2013-01-01,134138.0
4861,California,"Merced, California",2014-01-01,129179.0
4261,California,"Merced, California",2015-01-01,128327.0
3661,California,"Merced, California",2016-01-01,121137.0
3061,California,"Merced, California",2017-01-01,126148.0
2461,California,"Merced, California",2018-01-01,126793.0
1861,California,"Merced, California",2019-01-01,133311.0
1261,California,"Merced, California",2020-01-01,78318.0
661,California,"Merced, California",2021-01-01,48737.0
61,California,"Merced, California",2022-01-01,94304.0
10322,Connecticut,"Meriden, Connecticut",2005-01-01,13131.0
9722,Connecticut,"Meriden, Connecticut",2006-01-01,14290.0
9122,Connecticut,"Meriden, Connecticut",2007-01-01,30114.0
8522,Connecticut,"Meriden, Connecticut",2008-01-01,33137.0
7922,Connecticut,"Meriden, Connecticut",2009-01-01,31571.0
7322,Connecticut,"Meriden, Connecticut",2010-01-01,35904.0
6722,Connecticut,"Meriden, Connecticut",2011-01-01,34582.0
6122,Connecticut,"Meriden, Connecticut",2012-01-01,34483.0
5522,Connecticut,"Meriden, Connecticut",2013-01-01,35475.0
4922,Connecticut,"Meriden, Connecticut",2014-01-01,30466.0
4322,Connecticut,"Meriden, Connecticut",2015-01-01,27602.0
3722,Connecticut,"Meriden, Connecticut",2016-01-01,17735.0
3122,Connecticut,"Meriden, Connecticut",2017-01-01,12703.0
2522,Connecticut,"Meriden, Connecticut",2018-01-01,16495.0
1922,Connecticut,"Meriden, Connecticut",2019-01-01,17676.0
1322,Connecticut,"Meriden, Connecticut",2020-01-01,10244.0
722,Connecticut,"Meriden, Connecticut",2021-01-01,8032.0
122,Connecticut,"Meriden, Connecticut",2022-01-01,16373.0
9284,Michigan,"Meridian, Michigan",2007-01-01,11386.0
10511,Mississippi,"Meridian, Mississippi",2005-01-01,5981.0
9911,Mississippi,"Meridian, Mississippi",2006-01-01,5168.0
8111,Mississippi,"Meridian, Mississippi",2009-01-01,11646.0
7511,Mississippi,"Meridian, Mississippi",2010-01-01,13923.0
6911,Mississippi,"Meridian, Mississippi",2011-01-01,12989.0
6311,Mississippi,"Meridian, Mississippi",2012-01-01,12120.0
5711,Mississippi,"Meridian, Mississippi",2013-01-01,11500.0
5111,Mississippi,"Meridian, Mississippi",2014-01-01,11275.0
4511,Mississippi,"Meridian, Mississippi",2015-01-01,10863.0
3911,Mississippi,"Meridian, Mississippi",2016-01-01,10179.0
3311,Mississippi,"Meridian, Mississippi",2017-01-01,9417.0
2711,Mississippi,"Meridian, Mississippi",2018-01-01,9090.0
2111,Mississippi,"Meridian, Mississippi",2019-01-01,9173.0
1511,Mississippi,"Meridian, Mississippi",2020-01-01,4860.0
911,Mississippi,"Meridian, Mississippi",2021-01-01,3478.0
311,Mississippi,"Meridian, Mississippi",2022-01-01,4674.0
9062,California,"Metrolink Station Orange, California 92866",2007-01-01,0.0
8462,California,"Metrolink Station Orange, California 92866",2008-01-01,1178.0
7862,California,"Metrolink Station Orange, California 92866",2009-01-01,1804.0
7262,California,"Metrolink Station Orange, California 92866",2010-01-01,2439.0
6662,California,"Metrolink Station Orange, California 92866",2011-01-01,3025.0
6062,California,"Metrolink Station Orange, California 92866",2012-01-01,2302.0
